id,feature,weight,chartype,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
c150,see,1,standard,1,2,3,4,5,6,7,8,9,10,11,8,12,13,5,7,8,14,10,10,10,15,16,8
c151,sew,1,standard,1,2,3,4,5,6,7,6,6,6,8,6,9,10,11,12,13,6,6,18,14,15,16,17
c152,short,1,standard,1,2,3,4,5,6,3,7,8,9,10,3,1,11,12,13,14,14,15,16,16,10,17,18
c153,sing,1,standard,1,2,3,4,5,6,7,5,8,9,10,10,11,12,5,13,14,15,9,9,9,10,16,10
c154,smell,1,standard,1,2,2,3,4,5,6,7,8,9,10,2,11,12,4,13,14,2,15,16,9,17,18,19
c155,smoke,1,standard,1,2,3,4,5,17,6,17,17,7,9,17,10,11,12,13,17,17,14,7,7,8,15,16
c156,smooth,1,standard,1,2,3,4,5,6,7,8,8,9,10,3,11,12,13,14,15,8,16,16,16,17,18,19
c157,some,1,standard,1,14,2,3,4,15,5,16,17,18,6,19,7,8,4,15,9,10,18,18,18,11,12,13
c158,spit,1,standard,1,2,3,4,5,6,3,3,3,3,7,3,8,9,10,11,12,3,3,3,3,13,14,15
c159,squeeze,1,standard,1,2,3,4,5,3,6,7,8,9,10,11,12,13,14,15,16,17,9,9,18,10,19,20
c160,stand1,1,standard,1,2,3,4,5,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3
c161,stand2,1,standard,1,2,3,4,5,3,3,3,6,7,3,8,3,3,5,3,3,6,7,7,7,3,8,8
c162,star1,1,standard,1,1,1,2,1,1,1,3,3,1,4,1,5,6,1,7,8,3,1,1,1,1,9,10
c163,star2,1,standard,1,1,1,2,11,1,1,3,3,12,4,1,5,6,11,7,8,3,12,12,12,1,9,10
c164,stick,1,standard,1,2,3,4,5,6,7,8,9,10,11,3,12,13,14,15,9,16,17,18,19,20,21,22
c165,stone,1,standard,1,2,3,4,5,6,6,6,6,7,8,9,10,11,12,6,13,6,7,7,7,14,15,9
c166,straight,1,standard,1,2,3,4,5,6,6,7,8,17,6,17,9,10,11,12,13,8,17,17,17,14,15,16
c167,suck2,1,standard,1,2,2,3,4,2,5,15,6,16,2,16,7,8,9,10,11,6,12,16,16,2,13,14
c168,sun1,1,standard,1,2,3,4,5,3,3,3,3,3,6,3,11,7,5,8,3,3,3,3,3,3,9,10
c169,swell,1,standard,1,2,2,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,17,8,8,18,19,20
c170,tail,1,standard,1,2,3,4,5,6,7,8,9,10,23,11,12,13,14,15,16,17,18,19,10,20,21,22
c171,there,1,standard,2,3,5,6,6,6,8,6,6,6,9,7,11,12,6,13,6,6,6,6,6,15,7,7
c172,thick,1,standard,1,2,3,4,5,3,6,7,8,9,9,10,11,12,13,14,15,16,17,9,9,9,18,19
c173,thin,1,standard,1,2,3,4,5,6,7,6,8,6,6,6,9,10,11,12,13,6,14,6,6,6,15,16
c174,thou,1,standard,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,6
c175,three,1,standard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c176,throw,1,standard,1,2,3,4,5,1,1,6,6,7,8,9,10,11,12,1,6,6,7,7,7,13,14,15
c177,tongue1,1,standard,1,2,3,4,2,2,2,2,2,2,2,2,1,5,2,2,2,6,2,2,2,2,2,7
c178,tongue2,1,standard,1,2,3,4,8,9,9,10,11,12,13,2,1,5,8,9,10,6,12,12,12,13,14,7
c179,tongue3,1,standard,1,2,3,4,8,9,15,10,11,12,13,2,1,5,8,15,10,6,12,12,12,13,14,7
c180,tree1,1,standard,1,2,1,1,3,4,5,1,6,1,7,8,9,10,3,11,12,13,14,1,17,7,15,16
c181,tree2,1,standard,1,2,1,1,3,4,5,1,6,18,7,8,9,10,3,11,12,13,14,18,17,7,15,16
c182,turn,1,standard,1,2,3,4,5,6,7,8,6,9,10,6,11,12,5,6,6,6,9,13,9,14,15,6
c183,two,1,standard,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1
c184,vomit,1,standard,1,2,3,4,5,3,3,6,3,7,8,3,9,10,11,12,3,3,13,7,7,8,14,15
c185,us,1,standard,2,2,2,2,1,2,2,2,3,2,2,2,2,5,1,6,3,3,2,2,2,2,8,10
c186,what,1,standard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
c187,when1,1,standard,1,8,9,10,2,11,11,12,11,13,14,15,16,3,2,4,11,11,13,13,13,17,5,6
c188,who,1,standard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c189,wife,1,standard,1,1,1,2,1,1,3,1,4,1,1,5,6,7,1,8,1,9,1,1,1,10,11,12
c190,wind1,1,standard,1,2,2,3,1,1,1,1,1,1,4,1,5,6,1,7,1,1,1,1,1,1,8,9
c191,wind2,1,standard,1,2,2,3,10,11,11,12,13,10,4,10,5,6,10,7,12,13,10,10,10,10,8,9
c192,wing1,1,standard,1,3,1,4,5,1,1,6,1,2,17,7,8,9,10,11,12,1,13,14,2,18,15,16
c193,wing2,1,standard,1,3,19,4,5,20,20,6,21,2,17,7,8,9,10,11,12,21,13,14,2,18,15,16
c194,wipe,1,standard,1,2,3,4,5,6,7,8,9,10,11,12,1,13,5,14,15,16,17,18,17,19,20,21
c195,woman,1,standard,1,1,1,2,3,1,1,1,4,5,1,6,1,7,3,8,1,9,1,1,5,1,10,11
c196,you,1,standard,1,3,1,4,5,1,1,1,2,1,1,1,1,7,5,9,1,2,1,1,1,1,10,12
c197,yellow1,1,standard,1,2,3,4,5,6,6,6,6,6,7,8,1,9,10,11,6,6,12,6,6,13,14,15
c198,yellow2,1,standard,1,2,3,4,5,16,16,6,17,18,7,8,1,9,10,11,17,17,12,6,18,13,14,15
c199,arm,1,standard,1,2,3,4,5,5,5,6,7,8,9,10,11,12,5,13,8,7,8,8,8,14,15,16
c200,autumn,1,standard,1,2,3,4,5,6,7,3,8,9,10,11,12,13,14,15,3,8,3,16,9,17,18,19
c201,be_awake,1,standard,1,2,3,4,5,3,3,6,6,7,8,17,9,10,11,12,6,13,7,7,7,14,15,16
c202,axle,1,standard,1,2,3,4,5,3,6,3,3,3,7,3,8,9,10,11,3,3,12,3,3,3,13,14
c203,bear,1,standard,1,1,1,1,2,1,1,3,4,5,6,1,7,8,9,10,4,4,11,5,5,1,12,13
c204,beard,1,standard,1,1,2,1,3,1,4,5,5,5,6,5,7,8,9,10,5,5,11,12,5,13,14,15
c205,bee2,1,standard,1,2,16,17,3,4,5,6,18,6,6,7,8,9,10,11,18,18,12,6,6,13,14,15
c206,be_born,1,standard,1,2,2,3,4,2,2,5,6,7,2,2,8,9,4,10,6,6,7,7,7,2,2,11
c207,bow1,1,standard,1,2,3,4,5,6,6,7,7,8,9,10,11,12,13,6,14,7,15,8,8,16,17,18
c208,bow2,1,standard,1,2,3,4,5,6,19,7,7,8,9,10,11,12,13,19,14,7,15,8,8,16,17,18
c209,break1,1,standard,1,2,3,4,5,2,6,7,8,9,2,9,10,11,5,12,7,8,9,13,9,14,15,16
c210,break2,1,standard,1,2,3,4,5,2,6,7,8,9,2,17,10,11,5,12,7,8,9,13,9,14,15,16
c211,bronze,1,standard,1,2,3,4,5,6,7,8,9,7,10,7,11,12,13,14,15,16,7,7,7,10,7,7
c212,brother1,1,standard,1,2,3,4,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
c213,brother2,1,standard,1,2,3,4,2,2,2,2,5,2,2,2,1,1,2,2,2,5,2,2,2,2,2,2
c214,brother-in-law,1,standard,1,2,2,3,4,2,5,2,6,2,7,2,8,9,10,11,12,6,13,14,15,16,17,18
c215,buy,1,standard,1,16,17,2,3,3,4,5,6,7,3,8,9,10,11,12,13,6,7,14,15,3,8,8
c216,carry1,1,standard,1,2,2,3,2,2,2,4,4,2,2,2,1,5,2,2,6,4,2,2,7,8,2,2
c217,carry2,1,standard,1,2,2,3,2,2,2,9,4,2,2,2,1,5,2,2,6,4,2,2,7,8,2,2
c218,comb,1,standard,1,2,3,4,5,6,7,8,9,10,20,3,11,12,13,14,15,16,17,10,10,18,19,3
c219,cook,1,standard,1,2,3,4,3,3,3,5,6,7,8,3,9,10,3,11,12,13,14,15,16,17,18,19
c220,darkness,1,standard,1,2,3,4,5,6,6,6,6,7,16,6,8,9,5,10,11,6,12,13,17,16,14,15
c221,daughter,1,standard,1,2,2,3,2,2,2,2,2,2,4,5,2,2,2,6,2,7,2,2,2,8,2,9
c222,daughter-in-law,1,standard,1,2,2,2,3,2,4,2,5,2,6,2,7,8,9,10,5,11,12,2,2,13,14,15
c223,drive,1,standard,1,2,4,5,7,3,3,9,9,10,3,3,13,14,16,17,9,9,10,18,10,19,21,3
c224,eight,1,standard,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,2,2,2,2,5,6
c225,elbow1,1,standard,1,2,3,4,5,6,6,7,7,8,8,9,10,11,12,13,7,7,14,8,8,8,15,16
c226,elbow2,1,standard,1,2,3,4,5,6,6,7,7,17,8,9,10,11,12,13,7,7,14,17,17,18,15,16
c227,eyebrow,1,standard,1,2,3,4,3,3,3,3,5,3,3,6,7,8,3,9,3,10,11,3,3,12,13,14
c228,father-in-law,1,standard,1,2,3,4,5,4,4,4,6,4,7,4,8,9,10,11,12,13,4,14,4,15,16,17
c229,finger,1,standard,1,2,3,4,5,6,7,8,8,9,10,11,12,13,5,14,8,8,9,9,9,15,16,17
c230,fly,1,standard,1,2,2,2,3,4,4,2,2,5,6,2,7,8,9,10,2,2,11,5,5,6,12,13
c231,follow,1,standard,1,2,3,4,5,3,3,6,3,7,3,3,8,9,3,10,11,3,12,7,7,13,14,15
c232,free,1,standard,1,2,3,4,5,6,7,8,9,10,11,3,12,1,13,14,15,16,10,10,10,10,3,17
c233,furrow,1,standard,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,9,18,19,10,10,20,21
c234,goat,1,standard,1,2,3,4,5,4,6,7,4,8,9,10,11,12,5,13,4,14,8,8,8,9,15,10
c235,gold,1,standard,1,2,3,4,5,6,6,14,7,15,8,7,9,10,5,6,7,16,15,15,15,11,12,13
c236,goose,1,standard,1,2,3,4,5,3,6,3,3,3,7,3,8,9,10,11,3,3,12,3,3,7,13,14
c237,grind,1,standard,1,2,2,3,4,5,6,1,1,7,1,1,8,9,10,11,12,1,1,1,1,1,13,1
c238,half,1,standard,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,9,10,10,10,18,19,20
c239,horse,1,standard,1,2,3,4,3,3,3,5,6,7,3,3,3,3,3,3,8,9,3,7,7,10,11,12
c240,hundred,1,standard,1,2,3,4,3,3,3,3,3,3,3,3,5,6,3,7,8,3,3,3,9,3,10,11
c241,jaw,1,standard,1,2,2,3,4,2,2,5,2,6,7,8,9,10,2,11,12,13,14,17,2,2,15,16
c242,join,1,standard,1,2,3,4,5,6,6,7,6,8,9,6,10,11,5,12,13,14,15,16,8,17,18,19
c243,king,1,standard,1,2,3,4,5,6,7,8,9,10,6,6,11,11,5,7,12,13,14,10,10,15,16,17
c244,knot,1,standard,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,9,18,10,10,19,20,21
c245,leave1,1,standard,1,2,2,3,4,2,2,5,2,3,6,2,7,8,4,9,10,11,3,3,3,12,13,14
c246,leave2,1,standard,1,2,2,15,4,2,2,5,2,3,6,2,7,8,4,9,10,11,3,3,3,12,13,14
c247,lick,1,standard,1,2,2,3,4,2,2,2,2,2,2,2,5,6,7,8,9,2,2,2,2,2,10,11
c248,light,1,standard,1,1,2,3,1,1,1,4,4,1,1,1,5,6,1,7,8,9,1,1,1,1,10,11
c249,livestock,1,standard,1,2,3,4,5,6,6,7,8,6,9,6,10,11,12,13,14,15,16,6,6,17,18,6
c250,middle,1,standard,1,2,2,2,3,2,2,4,5,2,2,2,6,7,3,8,9,5,2,2,2,10,2,11
c251,milk1,1,standard,1,2,3,4,5,6,6,7,15,5,5,16,8,9,5,10,11,15,5,5,5,12,13,14
c252,milk2,1,standard,1,2,3,4,5,6,6,7,15,17,5,16,8,9,5,10,11,15,17,17,17,12,13,14
c253,mother_in_law,1,standard,1,2,3,2,4,2,5,2,6,2,7,2,8,9,10,11,12,13,2,14,2,15,16,17
c254,mouse,1,standard,1,2,2,2,3,2,4,2,5,2,6,2,7,8,9,10,11,5,12,2,2,6,13,14
c255,nail,1,standard,1,2,3,4,12,3,5,13,14,15,16,3,6,7,12,8,13,14,9,15,15,16,10,11
c256,naked,1,standard,1,1,1,2,3,1,1,12,12,13,14,1,4,5,6,7,8,9,13,13,13,14,10,11
c257,navel,1,standard,1,2,3,4,5,3,3,6,7,16,3,3,8,9,10,11,3,3,12,16,16,13,14,15
c258,nine,1,standard,1,2,2,2,2,2,2,5,5,2,2,2,3,2,2,2,2,5,2,2,2,2,4,2
c259,now1,1,standard,1,2,1,1,1,12,12,1,3,1,4,1,1,5,6,12,7,8,1,1,1,9,10,11
c260,now2,1,standard,1,2,1,1,1,13,12,1,3,1,4,1,1,5,6,12,7,8,1,1,1,9,10,11
c261,orphan,1,standard,1,2,2,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22
c262,plow,1,standard,1,2,3,4,5,6,6,3,3,3,3,3,7,8,9,10,3,3,3,3,3,3,11,12
c263,pour,1,standard,1,2,3,4,3,5,5,6,6,14,7,14,1,8,3,9,6,6,14,10,14,11,12,13
c264,remember,1,standard,1,2,3,4,5,6,6,3,3,3,3,3,7,8,5,9,10,3,3,3,11,3,3,12
c265,roof,1,standard,1,2,3,4,5,6,7,8,17,18,19,20,9,10,11,12,17,13,14,18,18,19,15,16
c266,row,1,standard,1,2,3,4,5,6,7,8,9,20,20,21,10,11,12,13,14,9,15,20,16,17,18,19
c267,send,1,standard,1,2,3,4,5,6,7,8,9,10,11,12,13,14,5,6,15,16,10,10,10,17,18,19
c268,seven,1,standard,1,1,1,1,1,1,1,1,1,7,1,1,2,3,1,4,1,1,7,7,7,1,5,6
c269,silver,1,standard,1,2,10,4,5,3,3,6,11,12,3,3,7,8,5,3,13,14,12,12,12,3,3,9
c270,sister,1,standard,1,2,3,4,2,2,2,2,2,2,2,2,1,5,2,6,2,7,2,2,2,2,8,9
c271,sister-in-law,1,standard,1,2,3,4,5,6,7,3,8,9,10,3,11,12,13,14,15,8,16,17,18,19,20,21
c272,six,1,standard,1,2,2,2,2,2,2,2,2,2,2,2,3,4,2,5,2,2,2,2,2,2,6,7
c273,son-in-law1,1,standard,1,2,3,3,4,3,3,3,3,5,6,3,7,8,9,10,11,12,13,13,5,14,15,16
c274,son-in-law2,1,standard,1,2,3,3,4,17,17,18,18,5,6,3,7,8,9,10,11,12,13,13,5,14,15,16
c275,spin,1,standard,1,2,3,4,5,6,7,8,9,10,3,3,11,12,13,14,15,9,10,10,10,3,16,17
c276,spring1,1,standard,1,1,1,2,3,1,1,1,1,4,5,1,6,7,8,1,9,1,10,1,4,1,11,12
c277,spring2,1,standard,13,1,1,2,3,1,1,1,14,4,5,1,6,7,8,1,9,14,10,1,4,1,11,12
c278,summer1,1,standard,1,2,3,4,2,5,2,6,7,2,2,8,9,10,2,11,12,7,13,2,2,2,14,15
c279,summer2,1,standard,1,2,3,4,17,5,2,6,7,18,2,8,9,10,17,11,12,7,13,18,18,2,14,15
c280,sweet1,1,standard,1,2,3,4,6,5,8,9,9,6,7,11,12,14,6,17,18,9,19,6,6,7,21,23
c281,sweet2,1,standard,1,2,3,4,10,5,8,9,9,6,7,11,12,14,10,17,18,9,19,6,6,7,21,23
c282,ten,1,standard,1,2,2,2,2,2,2,2,2,2,2,2,3,4,2,5,2,2,2,2,2,2,6,2
c283,thousand1,1,standard,1,2,3,4,5,3,3,6,6,6,7,8,9,10,5,11,6,6,6,6,6,12,13,14
c284,thousand2,1,standard,1,2,3,4,5,15,15,6,6,6,7,8,9,10,5,11,6,6,6,6,6,12,13,14
c285,twenty,1,standard,1,2,2,3,2,2,2,4,4,5,2,2,6,7,2,8,9,4,5,5,5,2,10,11
c286,udder,1,standard,1,2,3,4,5,3,6,7,8,3,9,3,10,11,12,13,14,8,15,3,3,16,17,18
c287,wasp,1,standard,1,2,3,4,5,6,7,8,7,7,9,7,10,11,12,13,7,14,15,16,17,18,19,20
c288,widow,1,standard,1,2,3,2,4,2,2,2,5,2,2,2,6,7,8,9,2,10,2,11,2,2,12,13
c289,winter,1,standard,2,2,2,2,2,2,2,2,2,7,2,2,9,11,2,14,2,2,7,7,7,2,17,19
c290,wool,1,standard,1,2,3,4,5,1,1,1,1,1,12,1,1,6,7,8,9,1,1,1,1,12,10,11
c291,yoke,1,standard,1,1,1,2,3,1,4,1,1,1,1,1,5,6,7,8,9,1,1,1,1,1,10,11
c292,young1,1,standard,1,2,2,3,4,5,5,5,5,5,5,5,6,7,8,9,10,5,5,5,5,5,11,5
c293,young2,1,standard,1,2,2,3,4,5,5,5,5,12,12,5,6,7,8,9,10,5,12,12,12,12,11,5
c294,tear,1,standard,1,2,2,3,11,11,11,4,11,2,2,2,5,6,11,7,8,11,2,2,2,2,9,10